dataset,model,shap_spearman_at_5pct,lime_spearman_at_5pct,lime_jaccard5_at_5pct,note
Edge-IIoT,RF,0.9918,0.1774,,
CIC-IDS-2017,RF,0.9342,0.2592,,
Edge-IIoT,ET,0.9947,0.2473,,
CIC-IDS-2017,ET,0.9146,0.2786,,
Edge-IIoT,DT,0.9970,,0.9161,Spearman undefined for near-constant LIME output; manuscript reports Jaccard@5.
CIC-IDS-2017,DT,0.9509,0.0614,,
Edge-IIoT,XGB,0.9956,0.1267,,
CIC-IDS-2017,XGB,0.9568,0.1121,,
Edge-IIoT,LGBM,0.9927,0.0756,,
CIC-IDS-2017,LGBM,0.9408,0.1015,,
Edge-IIoT,CB,0.9956,0.1497,,
CIC-IDS-2017,CB,0.9464,0.1747,,
Edge-IIoT,LR,0.9826,0.2182,,
CIC-IDS-2017,LR,0.9794,0.2525,,
Edge-IIoT,DNN,0.9658,0.7166,,
CIC-IDS-2017,DNN,0.9615,0.2504,,
Edge-IIoT,LSTM,0.9426,0.2070,,
CIC-IDS-2017,LSTM,0.8583,0.1021,,
